,gene_symbol
953,PHLDA3
954,H2AFY
955,HMX2
956,HEATR9
957,NME8
958,OLA1
959,RANBP17
960,TRIM6-TRIM34
961,OR52K1
962,AC007325.4
963,CH507-396I9.3
964,RRP36
965,TM7SF3
966,RP11-318A15.7
967,KIAA0391
968,FAM213B
969,GRK1
970,ALK
971,OVCH2
972,PI4KA
973,ZNF689
974,IGHA1
975,FAM206A
976,AKAP7
977,RRN3
978,GIN1
979,CFAP161
980,INTS13
981,CGRRF1
982,AP2B1
983,SULT2B1
984,MINK1
985,ARHGEF2
986,MED31
987,TSPAN33
988,DUSP9
989,SLC39A11
990,PSMB1
991,CNR2
992,YAP1
993,ARFGEF3
994,ZBTB2
995,RP11-87C12.2
996,NSMAF
997,LDLR
998,ZC3HC1
999,ZNF830
1000,VPS37A
1001,ZNF536
1002,WDR91
1003,FAT4
1004,GPX4
1005,ARHGAP33
1006,SLCO2A1
1007,APC2
1008,ZC3HAV1L
1009,ASNS
1010,WIF1
1011,FEN1
1012,TWSG1
1013,MIR3606
1014,NUDCD2
1015,RP4-777O23.3
1016,RNASE9
1017,BPIFA3
1018,IGKV1-33
1019,TUNAR
1020,HOXC5
1021,MRPS5
1022,MIR6844
1023,ATP5L
1024,MCPH1
1025,RNF38
1026,KMT5B
1027,FEZF1
1028,ATP6AP1
1029,N6AMT1
1030,ZNF92
1031,TPD52L3
1032,ARHGAP27
1033,NAXE
1034,HOXA9
1035,ADHFE1
1036,EREG
1037,IGKV1D-16
1038,LFNG
1039,GIMAP5
1040,AMN
1041,TCEAL1
1042,MICALL2
1043,TVP23A
1044,CSTL1
1045,RCN3
1046,ZMIZ2
1047,NXT1
1048,ZNF827
1049,WDCP
1050,CCDC93
1051,FZD2
1052,TANGO2
1053,RPH3A
1054,TTN
1055,COX7A1
1056,DEFA5
1057,PNMA3
1058,TRAV8-7
1059,KHNYN
1060,TTC38
1061,CNKSR2
1062,USP17L26
1063,GNG8
1064,CWF19L2
1065,CCDC69
1066,VPS28
1067,IFRD2
1068,SLC6A15
1069,KRTAP4-16
1070,TFDP2
1071,NPHP1
1072,LAMTOR5
1073,ABR
1074,DHRS2
1075,SMPX
1076,MYL12B
1077,PSMC6
1078,MIR5187
1079,EFHC1
1080,IGKV6-21
1081,RHOJ
1082,PLPP2
1083,SDR9C7
1084,HIST1H2BC
1085,CTB-60B18.6
1086,FN1
1087,C6
1088,AIF1L
1089,LRRC26
1090,FAM169B
1091,PPIAL4F
1092,MT-ND6
1093,CTD-3088G3.8
1094,TAF15
1095,PDIA3
1096,FAM231B
1097,RSPH10B2
1098,KRT33A
1099,TRGJ2
1100,CTD-2537I9.19
1101,IGKJ4
1102,OBP2A
1103,ATP6V1E1
1104,IPMK
1105,PRR18
1106,C7orf57
1107,RRP9
1108,CCNE1
1109,EVA1C
1110,STK10
1111,TMEM144
1112,METTL1
1113,FSD1L
1114,IGLC2
1115,MMP13
1116,C7
1117,COL25A1
1118,GNPTAB
1119,ZNF112
1120,OSBPL1A
1121,PLD2
1122,FOXD4L5
1123,TRBJ2-2P
1124,PBX2
1125,NDUFV2
1126,ALDH5A1
1127,PDPR
1128,WDR19
1129,LILRB1
1130,ZNF175
1131,PTPRN
1132,NTHL1
1133,PTPN6
1134,CLDN22
1135,RHBDD3
1136,MRPL54
1137,XYLB
1138,HES5
1139,TMED5
1140,ETS2
1141,PGM2L1
1142,FBXO41
1143,C8G
1144,STAR
1145,PLCG1
1146,ALCAM
1147,STX5
1148,POTEM
1149,UGGT1
1150,THBS4
1151,SERPINE2
1152,GRP
1153,DUS2
1154,OSBPL7
1155,HSFY1
1156,GATB
1157,PCDHGB6
1158,OPTC
1159,GPATCH3
1160,ST18
1161,USP54
1162,PTTG2
1163,CPN1
1164,ZNF831
1165,GSG1L2
1166,DPY19L4
1167,RNASE7
1168,CBX8
1169,AC010646.3
1170,OTOP2
1171,SLC6A1
1172,TIGD1
1173,ZNF627
1174,MTERF4
1175,PON2
1176,WWTR1
1177,DTNB
1178,LMAN2
1179,COG2
1180,AURKAIP1
1181,OR2G6
1182,RHOT2
1183,FOPNL
1184,TRAV4
1185,ABHD14B
1186,BAALC
1187,DHX8
1188,SALL2
1189,MEX3B
1190,ZNF720
1191,CCDC47
1192,ZNF500
1193,FAM19A1
1194,TCP1
1195,TAAR6
1196,TRHR
1197,SNU13
1198,LUM
1199,THOC7
1200,PRKAB1
1201,CDK1
1202,SIAH2
1203,DAZ3
1204,ARHGAP28
1205,RIF1
1206,PILRB
1207,SPRTN
1208,BTBD19
1209,ARR3
1210,LRRK2
1211,UBOX5
1212,CCDC148
1213,SYT5
1214,ZNF749
1215,PLBD2
1216,TAX1BP3
1217,LANCL3
1218,ADAP2
1219,KANK3
1220,RASSF10
1221,TRAJ31
1222,GRIN3A
1223,TLE2
1224,PHKA1
1225,SCAMP4
1226,DEFB1
1227,RASSF1
1228,TACC3
1229,L3MBTL2
1230,TRGV10
1231,C2CD2
1232,C7orf50
1233,AC009014.3
1234,SIRT2
1235,CDH12
1236,AP5S1
1237,CUL9
1238,LCE1D
1239,PLXNB2
1240,NCAPG
1241,TXLNG
1242,ZBTB47
1243,MYO16
1244,IFNL2
1245,SIRT3
1246,EIF5A
1247,CRX
1248,ENDOU
1249,IGHV2-5
1250,TRAJ9
1251,ZNF341
1252,MPV17L2
1253,CDC25B
1254,TAF6
1255,PLCD4
1256,TAF1D
1257,RP11-432M8.13
1258,MYH7
1259,SRP19
1260,RASSF2
1261,TCTE3
1262,FSCN2
1263,OTOL1
1264,SLC22A4
1265,CPED1
1266,ZNF71
1267,ATP5F1
1268,TRMT10B
1269,NCCRP1
1270,GOLGA6D
1271,NSUN5
1272,NDUFV3
1273,HEPH
1274,SEPT3
1275,KLHL34
1276,MVP
1277,STRIP2
1278,TREX2
1279,BZW2
1280,TAF7L
1281,TEC
1282,FNDC8
1283,IKBKE
1284,CAP2
1285,LRRC15
1286,RFESD
1287,NDUFAF8
1288,IL12B
1289,SLC17A6
1290,APLP2
1291,UBE3B
1292,LURAP1L
1293,SMYD4
1294,KATNA1
1295,TIMM10
1296,CDY1
1297,IFNA7
1298,OR4C12
1299,NEU2
1300,FAH
1301,HOOK3
1302,FRG2B
1303,CHRDL2
1304,TLR5
1305,C16orf62
1306,ASB7
1307,HAUS2
1308,CSAG1
1309,TBC1D3G
1310,ALDH1L1
1311,TRPV2
1312,RTEL1-TNFRSF6B
1313,ERGIC1
1314,ZNF688
1315,VCY1B
1316,HBG1
1317,BCL3
1318,CEL
1319,IL21
1320,ARMCX5
1321,ZNF585A
1322,E2F2
1323,TCOF1
1324,PIGW
1325,PLEKHB2
1326,TRIM10
1327,HARBI1
1328,SPRED1
1329,C1QTNF12
1330,UBE2Q2L
1331,MRAP
1332,TMCO2
1333,LZTR1
1334,AQP11
1335,SMARCAL1
1336,PRPF39
1337,ADAMTS16
1338,XIAP
1339,MIR4683
1340,KCNK15
1341,NUDT12
1342,KRBOX1
1343,DBI
1344,MPDZ
1345,REPS1
1346,ZNF480
1347,FAM210B
1348,MAFK
1349,TMEM190
1350,SLC23A1
1351,CYP4F8
1352,LRRC4C
1353,ABHD17C
1354,OST4
1355,IVL
1356,DKKL1
1357,NAPA
1358,PLVAP
1359,TRDV2
1360,VAMP5
1361,AC012314.3
1362,CATSPER2
1363,FBXL13
1364,SSH2
1365,RPL8
1366,SMU1
1367,HERPUD2
1368,MIR24-1
1369,OAZ1
1370,RBM4
1371,GPLD1
1372,CTD-2006C1.10
1373,LBX1
1374,C4orf26
1375,SLC27A3
1376,HIST1H2AK
1377,ZNF474
1378,NPPA
1379,CT47A12
1380,ZNF26
1381,MFSD10
1382,UBAP2L
1383,TMEM261
1384,ABI1
1385,AGBL2
1386,KCNJ15
1387,NR1I2
1388,IRAK2
1389,ALDH9A1
1390,HLTF
1391,ZNF442
1392,KLHDC4
1393,MLPH
1394,HMGN4
1395,SART3
1396,HNRNPL
1397,MRPL35
1398,MRPS18C
1399,HMBOX1
1400,SNX31
1401,PELO
1402,MTA2
1403,NUP210
1404,CTTN
1405,H2AFY2
1406,FNTB
1407,MEGF9
1408,DPPA4
1409,FGL2
1410,COL4A1
1411,METTL23
1412,LIMK1
1413,OSBPL11
1414,F13A1
1415,FAM198B
1416,CD177
1417,CBWD3
1418,ROCK1
1419,VHL
1420,LINC00238
1421,GCM1
1422,HIST1H4E
1423,FCGR1B
1424,KBTBD7
1425,TRIM2
1426,RARRES3
1427,NDEL1
1428,SLC22A14
1429,MRM2
1430,ETFDH
1431,UTP11
1432,DUSP14
1433,TRBV10-1
1434,PRELP
1435,HHEX
1436,CARF
1437,ARPC1A
1438,RAMP2
1439,PKD1L3
1440,MYO5C
1441,NLGN4X
1442,CNNM1
1443,CACUL1
1444,ZFYVE27
1445,SSRP1
1446,SLC16A6
1447,IL9R
1448,PPP1R13L
1449,KRT72
1450,FBF1
1451,COL4A4
1452,PPID
1453,PSMB7
1454,RGS20
1455,KLHL3
1456,LMNTD1
1457,BORCS8
1458,ZNRF1
1459,ZNF786
1460,RPL18
1461,VGLL4
1462,SND1
1463,FAM46C
1464,TMEM203
1465,SIVA1
1466,TNFRSF12A
1467,R3HDM1
1468,TBC1D22A-AS1
1469,SYNGAP1
1470,ABCA4
1471,CDK8
1472,IGSF11
1473,NOP56
1474,HIC1
1475,ASB13
1476,SLC31A2
1477,PDCD1LG2
1478,DDR2
1479,FOXL2NB
1480,CLUL1
1481,CTDSPL2
1482,SPAG5
1483,GSS
1484,HIST1H2BD
1485,TRAPPC3
1486,CEBPA
1487,C5orf30
1488,DSN1
1489,ISPD
1490,ENO3
1491,PTGS2
1492,TRDC
1493,SETD4
1494,MANEAL
1495,VPS26A
1496,RBM8A
1497,GRID1
1498,UBE3D
1499,RNF207
1500,TMEM138
1501,C11orf58
1502,FDX2
1503,WBP11
1504,HESX1
1505,COQ8A
1506,CHCHD5
1507,C1QBP
1508,ADORA2A
1509,DEF6
1510,LRRC8D
1511,TINCR
1512,FAM92B
1513,FAM122C
1514,EPM2AIP1
1515,CSGALNACT2
1516,FGR
1517,NECAP2
1518,EPOR
1519,VAX2
1520,VCPIP1
1521,CADPS
1522,KCNA6
1523,IGKV1-17
1524,C9orf172
1525,LAX1
1526,OR2T12
1527,CDK5RAP1
1528,IGHD6-6
1529,AICDA
1530,MIR6838
1531,KLF5
1532,ERICH3
1533,PRR20B
1534,KIAA0430
1535,DAZ2
1536,CD4
1537,DDAH1
1538,OR10P1
1539,SPPL2C
1540,CXorf49
1541,TYMS
1542,LENG1
1543,NUPR1
1544,ARID1A
1545,CHST10
1546,EPHA7
1547,MFAP2
1548,NUDCD3
1549,PDZD4
1550,C19orf45
1551,ANP32E
1552,PRLHR
1553,CDC37
1554,PTPN13
1555,C14orf93
1556,MIR6732
1557,TSPY4
1558,CXorf56
1559,CRNN
1560,URI1
1561,TMEM211
1562,STXBP5
