,ENST00000477988.1,ENST00000561385.5,ENST00000284509.10,ENST00000262262.4,ENST00000598473.1,ENST00000378962.3,ENST00000515859.5,ENST00000507316.1,ENST00000537784.5,ENST00000611771.1,ENST00000592205.5,ENST00000233997.3,ENST00000367279.8,ENST00000309017.7,ENST00000468385.1,ENST00000304639.3,ENST00000381501.7,ENST00000376581.9,ENST00000373304.3,ENST00000393118.6,ENST00000531348.5,ENST00000216336.2,ENST00000257818.2,ENST00000215855.6,ENST00000281938.6,ENST00000304625.2,ENST00000282026.1,ENST00000261233.8,ENST00000448387.6,ENST00000359135.7,ENST00000381297.9,ENST00000427103.5,ENST00000367814.8,ENST00000527615.5,ENST00000430686.2,ENST00000264824.4,ENST00000241453.11,ENST00000380987.2,ENST00000346128.10,ENST00000400007.8,ENST00000245479.2,ENST00000355530.6,ENST00000633060.1,ENST00000620695.2,ENST00000612677.4,ENST00000554578.5,ENST00000293373.10,ENST00000563039.2,ENST00000360121.4
AML21,0.0,0.004267977231402339,0.027646963927544628,0.005547431654188093,0.0012794090467386989,0.13777541584273872,0.0,0.0,0.00056936043038295,0.00234553074323253,4.498418592167478e-05,2.123977686985361e-05,0.009292971593570485,0.0010693959688658859,0.00597362218406685,0.0019264477620957227,0.01112403870273247,0.0,0.022767758551286852,0.0,0.0,0.00042154217988965483,0.05951529390924268,0.0,0.0,0.015705900504863736,0.007321803149857054,0.024832392802710834,0.01082339012894463,0.0,0.06853855982276813,0.02163229867277187,0.04373888210912063,0.002257366340296962,0.0035144655119313858,0.09078108664190444,0.07527546796479627,0.03310585105747878,0.0,1.866712947767173e-05,0.0,0.028378412691500654,4.498418592167478e-05,2.1216385045107077e-05,0.009227408862820554,0.00425525486690764,0.026895184402443286,0.025117635149612877,0.03905150489597871
AML22,0.04128855383227454,0.0067917458953755975,0.042863732485861665,0.0038972779951120975,0.000812147949746517,0.04876519206808542,0.0,0.0,0.00017227491167847513,0.0019695251683793202,1.2051533517885155e-05,2.2761055034329956e-05,0.0068856409070975465,0.0008389307750780883,0.006654422907934917,0.001060886452634832,0.005007407238877328,0.0,0.02443670704591656,0.0,0.0,0.0003613877797135627,0.0392151978133064,0.0,0.0,0.005619830938281813,0.005207565348214807,0.02115740915936979,0.010331823331833008,0.0,0.06469056166994878,0.01962471181036443,0.018155960074034718,0.0012051887825884422,0.0016539333822774068,0.05416857535186323,0.032185862991311764,0.012355889458612703,0.0,0.0,5.251660370424134e-06,0.032159757966321464,1.2051533517885155e-05,2.273598779310272e-05,0.007702220244128228,0.0033971594925289177,0.026428352720257692,0.030136410716757323,0.04329488767820027
AML23,0.01766923308743415,0.00451325328210742,0.040929995632917084,0.024956885311594748,0.008823405101402714,0.006359740703903475,0.0,0.0,0.008699455511754784,0.016530707777895694,0.007034685911050841,0.011006743874752254,0.0177341736072042,0.006185404836451052,0.014088757014108664,0.033939651888779766,0.008446096122100455,0.0,0.006099157495366159,0.0,0.0,0.03224538379632403,0.030481762029739838,0.0,0.0,0.21622723990747542,0.004770493955757137,0.022404791234786822,0.05785853206525163,0.0,0.047889543158232004,0.04653182363760973,0.06800674842768038,0.002367276503524357,0.0038885956987789443,0.06032116305878938,0.029981354208997,0.006340308185474445,0.0,0.0,4.494844336666027e-06,0.011522185028779648,0.007034685911050841,0.010994621910132483,0.02940585210700476,0.00798470406609366,0.018765197767801726,0.06261945692670268,0.08864090895400495
AML24,0.017979801059974,0.005040384426891061,0.04574291510880516,0.02592436431903228,0.009149619574936008,0.007575195201049314,0.0,0.0,0.009990167626508503,0.01963287759520531,0.0036211508264395974,0.006898534475050664,0.0167958325368823,0.0037917561863530826,0.012353699314534446,0.021126266245469448,0.011727878976022375,0.0,0.008770147405920652,0.0,0.0,0.01951418233205056,0.05927891161580088,0.0,0.0,0.1493072646355341,0.004424083931986846,0.02310300806229368,0.0707821817296293,2.6859577322936962e-05,0.05575128845196063,0.044966193887458185,0.07821376814823335,0.002695837454183418,0.006126322175840563,0.0631903204032172,0.030743298100980112,0.012082188824561505,0.0,0.0,0.0,0.01464630571161441,0.0036211508264395974,0.006890936970122195,0.024329089811840846,0.009012659771835069,0.02220044923752692,0.06435080444131008,0.08592696627835268
AML25,0.01808186655492073,0.004650071677025662,0.042801380326204765,0.03569375299418689,0.00966431404066935,0.03154236319792534,0.0,0.0,0.0011882728716550827,0.02060338093313145,0.0008022310905860919,0.003688142571841604,0.014266121974112037,0.003851701720331056,0.011264951736854479,0.012481510663605004,0.030340591709062566,0.0,0.007313110473323495,0.0,0.0,0.005796484573951613,0.025319826593483426,0.0,0.0,0.051332410053136074,0.005039709428314055,0.023336203378036505,0.07794305810341229,0.0,0.03197697797596246,0.04541616983939243,0.05165543525516876,0.0017087022153957012,0.004031767542651244,0.069421669973855,0.018511937087199296,0.008677703707149629,0.0,0.00010512713113326005,0.0,0.0073021070051304815,0.0008022310905860919,0.0036840807408153467,0.012791891037796703,0.010677456642874077,0.022288216135458526,0.07610387331992811,0.09980172675968794
AML26,0.0,0.005553991702413817,0.039502267733432864,0.0038837611601593254,0.0010702281744823636,0.04831514530341503,0.0,0.0,0.00024846510199074036,0.0016679348386284827,0.0,0.0,0.007843554073005585,0.0007745768682540523,0.005934098796751417,0.0009388324762157629,0.004689802874906821,0.0,0.023268739391465728,0.0,0.0,0.00031695500916318345,0.04105779240530714,0.0,1.037782118485222e-05,0.005123342941634592,0.005056645962629302,0.02034742563931767,0.009451797820759247,0.0,0.0636197066235623,0.01871788222698702,0.019821981038025082,0.001022030146304602,0.0018642012765453647,0.05164076697571878,0.02853557158833806,0.015098676049601913,0.0,0.0,4.913031092599842e-06,0.034633979492479275,0.0,0.0,0.007799618545906825,0.004608258360651115,0.026018952001355317,0.024107532998083155,0.04346153535549823
AML27,0.0,0.00967943538242606,0.021937330766865475,0.00714690283354132,0.0005444871227373035,0.031942577270291,0.0,0.0,0.0005942324019934774,0.0039113452802394975,0.00018943142035217375,0.00033391726004306,0.005062071702304054,0.0006377876681721712,0.003099176594760766,0.004867440345949104,0.011587666415862324,0.0,0.01009543182863518,0.0,0.0,0.0009230740262193779,0.05858912657326959,0.0,1.162443213552834e-05,0.030256249557844124,0.003033014629983301,0.02347998360926137,0.01797545993775162,0.0,0.05342612438154484,0.013431299679707723,0.01488501846153357,0.0030164547013021657,0.006222639309707564,0.04760443570394818,0.20516924016159518,0.17476709310386326,0.0,0.0,0.0,0.05291284822885773,0.00018943142035217375,0.00033354950975666894,0.016116864384124085,0.0033681865685048656,0.01972511831360122,0.00853414617230628,0.012542409865427954
AML28,0.038168495433788384,0.0034432338046988366,0.043566975492944984,0.01653881111990762,0.004561167495789009,0.01242819033795509,0.0,0.0,0.0013934951392725243,0.013445970261008544,0.0006238866737571949,0.0026932565686465892,0.01687480035487704,0.005976182751186786,0.01358021397385025,0.017281846543631962,0.011572529344852528,0.0,0.009768307535091768,0.0,0.0,0.014490665115453577,0.030914463745146722,0.0,0.0,0.054840706286464,0.0033042827550365792,0.018751969148336354,0.05315584328426731,0.0,0.0358517294817492,0.060484238493758606,0.04842729001207039,0.0019957907104185863,0.005692116355714581,0.08522836893959365,0.014365560225994582,0.007215673187400281,0.0,0.00012944741668435985,0.0,0.006374972465899125,0.0006238866737571949,0.0026902904270511637,0.018828835150596242,0.007585384535575666,0.020021458545752803,0.059631837172594376,0.08983492992582685
AML29,0.0,0.0070640440587514276,0.05083526667686861,0.0041240069134139395,0.0009346164744288068,0.0461942537276388,0.0,0.0,0.00029363509151178203,0.0018812127222478689,3.4394759222412135e-05,0.0,0.006502358200549192,0.0010902088103169833,0.006386046741771045,0.001882109886949744,0.005375221614594188,0.0,0.029655505349155967,0.0,3.374468645360366e-05,0.0009024673037985642,0.04875405056590207,4.594013454034463e-05,2.1106295019878912e-05,0.010910781953331849,0.0036879180217258495,0.020012009147544828,0.010816599936095357,0.0,0.06225972942791091,0.02392025869011186,0.03257572227895741,0.0015506966035310783,0.003905133154725338,0.05243363762204823,0.03630672487209856,0.014959240507507047,0.0,0.0,4.996033456117357e-06,0.036945523675538924,3.4394759222412135e-05,0.0,0.009780507945862956,0.004474801712505721,0.024061554731737485,0.02401667427482458,0.03616226269336671
AML30,0.01334586349765401,0.010184289115643879,0.08348672907410777,0.06729528433974374,0.01204740808121559,0.014671512885255802,0.0,0.0,0.0001716957404079271,0.012059793558757172,0.0016283044197371208,0.0034284302039177335,0.011768067690580671,0.0038814662762101304,0.009735813710823943,0.0033364658744135024,0.016455402302215295,0.0,0.017685740590594832,0.0,0.0,0.02163957297978473,0.023966118159890935,0.0,7.171339869776469e-06,0.0321042160804677,0.006759349220799427,0.024382482362728837,0.03480092309315071,0.0,0.06031754805536854,0.046931053591824534,0.0602746403211733,0.002141167516213285,0.005462013632244498,0.08450878317420615,0.029007893582459685,0.00921430146274461,0.0,0.0,0.0,0.02327882636724519,0.0016283044197371208,0.0034246543997283967,0.01669564703345869,0.009806675646060952,0.031193355117178176,0.04711745224050326,0.06858387757396087
