,transcript_ID
620,ENST00000383766
621,ENST00000452462
622,ENST00000456853
623,ENST00000474629
624,ENST00000494811
625,ENST00000454457
626,ENST00000432518
627,ENST00000443912
628,ENST00000445077
629,ENST00000636900
630,ENST00000636582
631,ENST00000497205
632,ENST00000497319
633,ENST00000442092
634,ENST00000266022
635,ENST00000443081
636,ENST00000419610
637,ENST00000422955
638,ENST00000454079
639,ENST00000434592
640,ENST00000421682
641,ENST00000282486
642,ENST00000282488
643,ENST00000355460
644,ENST00000495875
645,ENST00000493459
646,ENST00000324210
647,ENST00000459747
648,ENST00000460591
649,ENST00000498502
650,ENST00000324196
651,ENST00000357472
652,ENST00000545754
653,ENST00000485910
654,ENST00000463374
655,ENST00000465907
656,ENST00000485509
657,ENST00000492948
658,ENST00000464596
659,ENST00000460166
660,ENST00000478535
661,ENST00000382584
662,ENST00000469882
663,ENST00000484790
664,ENST00000465551
665,ENST00000382199
666,ENST00000457616
667,ENST00000346192
668,ENST00000421047
669,ENST00000461957
670,ENST00000493302
671,ENST00000466476
672,ENST00000452837
673,ENST00000417036
674,ENST00000419437
675,ENST00000345094
676,ENST00000515662
677,ENST00000441127
678,ENST00000416603
679,ENST00000461636
680,ENST00000484006
681,ENST00000464045
682,ENST00000411987
683,ENST00000448482
684,ENST00000306024
685,ENST00000250863
686,ENST00000399444
687,ENST00000478716
688,ENST00000473799
689,ENST00000497274
690,ENST00000441115
691,ENST00000493652
692,ENST00000425608
693,ENST00000433811
694,ENST00000491874
695,ENST00000488807
696,ENST00000464013
697,ENST00000483350
698,ENST00000446471
699,ENST00000466247
700,ENST00000478026
701,ENST00000438912
702,ENST00000347869
703,ENST00000469838
704,ENST00000404526
705,ENST00000441305
706,ENST00000433556
707,ENST00000438369
708,ENST00000464087
709,ENST00000492472
710,ENST00000437500
711,ENST00000417905
712,ENST00000395174
713,ENST00000496179
714,ENST00000462025
715,ENST00000471995
716,ENST00000474818
717,ENST00000494360
718,ENST00000441812
719,ENST00000489437
720,ENST00000474470
721,ENST00000475128
722,ENST00000493993
723,ENST00000475590
724,ENST00000492430
725,ENST00000479275
726,ENST00000464988
727,ENST00000461242
728,ENST00000563281
729,ENST00000355852
730,ENST00000322099
731,ENST00000428823
732,ENST00000492809
733,ENST00000497390
734,ENST00000461554
735,ENST00000484633
736,ENST00000471308
737,ENST00000498822
738,ENST00000471622
739,ENST00000468324
740,ENST00000466412
741,ENST00000497653
742,ENST00000489595
743,ENST00000490063
744,ENST00000483411
745,ENST00000471358
746,ENST00000461544
747,ENST00000483611
748,ENST00000460683
749,ENST00000474669
750,ENST00000475640
751,ENST00000477171
752,ENST00000461436
753,ENST00000466565
754,ENST00000497971
755,ENST00000486483
756,ENST00000295924
757,ENST00000461166
758,ENST00000473702
759,ENST00000481853
760,ENST00000542783
761,ENST00000495891
762,ENST00000296015
763,ENST00000491380
764,ENST00000412756
765,ENST00000465065
766,ENST00000470669
767,ENST00000462895
768,ENST00000492617
769,ENST00000495660
770,ENST00000465625
771,ENST00000487397
772,ENST00000357559
773,ENST00000305586
774,ENST00000475315
775,ENST00000491674
776,ENST00000479176
777,ENST00000491062
778,ENST00000468861
779,ENST00000445140
780,ENST00000472339
781,ENST00000484958
782,ENST00000480918
783,ENST00000484042
784,ENST00000461801
785,ENST00000473375
786,ENST00000461044
787,ENST00000498658
788,ENST00000476672
789,ENST00000482125
790,ENST00000481383
791,ENST00000464166
792,ENST00000494906
793,ENST00000496495
794,ENST00000466214
795,ENST00000453386
796,ENST00000492417
